Target,Create_Date,Text,Compound,Positive,Negative,Neutral,Text_Cnt
@BBC,Fri Oct 05 00:32:44 +0000 2018,"RT @BBC: 🎶 @BTS_twt is the #KPop band taking over the world and smashing records everywhere. 

Who are they and how did they become so succ…",0.0,0.0,0.0,1.0,70
@BBC,Fri Oct 05 00:32:37 +0000 2018,"RT @BBC: 🎶 @BTS_twt is the #KPop band taking over the world and smashing records everywhere. 

Who are they and how did they become so succ…",0.0,0.0,0.0,1.0,71
@BBC,Fri Oct 05 00:32:29 +0000 2018,"RT @BBC: 🎶 @BTS_twt is the #KPop band taking over the world and smashing records everywhere. 

Who are they and how did they become so succ…",0.0,0.0,0.0,1.0,72
@BBC,Fri Oct 05 00:32:22 +0000 2018,"RT @BTS__Europe: Now officialy on the @BBC schedule page - @BTS_twt performing on the The Graham Norton Show 

📅 Next Friday - 12.10
⏰ 23:3…",0.0,0.0,0.0,1.0,73
@BBC,Fri Oct 05 00:32:20 +0000 2018,"RT @BBC: 🎶 @BTS_twt is the #KPop band taking over the world and smashing records everywhere. 

Who are they and how did they become so succ…",0.0,0.0,0.0,1.0,74
@BBC,Fri Oct 05 00:32:19 +0000 2018,"RT @BTS__Europe: Now officialy on the @BBC schedule page - @BTS_twt performing on the The Graham Norton Show 

📅 Next Friday - 12.10
⏰ 23:3…",0.0,0.0,0.0,1.0,75
@BBC,Fri Oct 05 00:32:19 +0000 2018,"RT @Redmeheart: @aaron_magro @IsaacKappy @VibeHi @nytimes @BBC Whatever it is, Trump does not get the credit he deserves. He's 4 steps ahea…",-0.2924,0.0,0.098,0.902,76
@BBC,Fri Oct 05 00:32:18 +0000 2018,"RT @BTS__Europe: Now officialy on the @BBC schedule page - @BTS_twt performing on the The Graham Norton Show 

📅 Next Friday - 12.10
⏰ 23:3…",0.0,0.0,0.0,1.0,77
@BBC,Fri Oct 05 00:32:18 +0000 2018,"RT @BBC: This is how homophobia feels in 2018. 
#NationalPoetryDay https://t.co/Dk2F3dDLPl",0.0,0.0,0.0,1.0,78
@BBC,Fri Oct 05 00:32:08 +0000 2018,"RT @BBC: 🎶 @BTS_twt is the #KPop band taking over the world and smashing records everywhere. 

Who are they and how did they become so succ…",0.0,0.0,0.0,1.0,79
@BBC,Fri Oct 05 00:32:04 +0000 2018,"RT @BTS__Europe: Now officialy on the @BBC schedule page - @BTS_twt performing on the The Graham Norton Show 

📅 Next Friday - 12.10
⏰ 23:3…",0.0,0.0,0.0,1.0,80
@BBC,Fri Oct 05 00:32:00 +0000 2018,"RT @BTS__Europe: Now officialy on the @BBC schedule page - @BTS_twt performing on the The Graham Norton Show 

📅 Next Friday - 12.10
⏰ 23:3…",0.0,0.0,0.0,1.0,81
@BBC,Fri Oct 05 00:31:55 +0000 2018,"RT @BTS__Europe: Now officialy on the @BBC schedule page - @BTS_twt performing on the The Graham Norton Show 

📅 Next Friday - 12.10
⏰ 23:3…",0.0,0.0,0.0,1.0,82
@BBC,Fri Oct 05 00:31:44 +0000 2018,"RT @BBC: The pika might just be the world's cutest thief! 
#WorldAnimalDay https://t.co/v8dSKoVYgD",0.1759,0.221,0.184,0.595,83
@BBC,Fri Oct 05 00:31:40 +0000 2018,"RT @BTS__Europe: Now officialy on the @BBC schedule page - @BTS_twt performing on the The Graham Norton Show 

📅 Next Friday - 12.10
⏰ 23:3…",0.0,0.0,0.0,1.0,84
@BBC,Fri Oct 05 00:31:37 +0000 2018,"RT @BTS__Europe: Now officialy on the @BBC schedule page - @BTS_twt performing on the The Graham Norton Show 

📅 Next Friday - 12.10
⏰ 23:3…",0.0,0.0,0.0,1.0,85
@BBC,Fri Oct 05 00:31:37 +0000 2018,"RT @Mexican11: Se ve una diferencia en la PORTADA de @hola, TODAVÏA NO tenemos una constancia de que CESAR YAÑEZ haya pagado para SALIR en…",-0.4466,0.0,0.109,0.891,86
@BBC,Fri Oct 05 00:31:36 +0000 2018,"RT @aaron_magro: @Redmeheart @IsaacKappy @VibeHi @nytimes @BBC Sun Tzu. (@realDonaldTrump)

Never interrupt your enemy when they're making…",-0.7096,0.0,0.282,0.718,87
@BBC,Fri Oct 05 00:31:23 +0000 2018,@WallisKing @JohnHX2 @BBC I agree that #bbcqt should reflect all views. Can we expect Tommy Robinson next week? A b… https://t.co/yHKl2S3Vq8,0.3612,0.122,0.0,0.878,88
@BBC,Fri Oct 05 00:31:17 +0000 2018,"RT @BBC: 🎶 @BTS_twt is the #KPop band taking over the world and smashing records everywhere. 

Who are they and how did they become so succ…",0.0,0.0,0.0,1.0,89
@BBC,Fri Oct 05 00:31:15 +0000 2018,"RT @BTS__Europe: Now officialy on the @BBC schedule page - @BTS_twt performing on the The Graham Norton Show 

📅 Next Friday - 12.10
⏰ 23:3…",0.0,0.0,0.0,1.0,90
@BBC,Fri Oct 05 00:31:14 +0000 2018,"RT @BBC: 🎶 @BTS_twt is the #KPop band taking over the world and smashing records everywhere. 

Who are they and how did they become so succ…",0.0,0.0,0.0,1.0,91
@BBC,Fri Oct 05 00:31:08 +0000 2018,"RT @BBC: 🎶 @BTS_twt is the #KPop band taking over the world and smashing records everywhere. 

Who are they and how did they become so succ…",0.0,0.0,0.0,1.0,92
@BBC,Fri Oct 05 00:31:05 +0000 2018,"RT @BBC: 🎶 @BTS_twt is the #KPop band taking over the world and smashing records everywhere. 

Who are they and how did they become so succ…",0.0,0.0,0.0,1.0,93
@BBC,Fri Oct 05 00:30:59 +0000 2018,"Schrek, the mini series. A time travel back to his jungle roots.

@Disney what could go wrong. At least we have @BBC https://t.co/ehO3ZNb84G",-0.4767,0.0,0.129,0.871,94
@BBC,Fri Oct 05 00:30:55 +0000 2018,"RT @BTS__Europe: Now officialy on the @BBC schedule page - @BTS_twt performing on the The Graham Norton Show 

📅 Next Friday - 12.10
⏰ 23:3…",0.0,0.0,0.0,1.0,95
@BBC,Fri Oct 05 00:30:52 +0000 2018,RT @RealRapman: BBC 1 news @bbc #shirosstory 🙏🏾 https://t.co/kRgJn4MVqc,0.0,0.0,0.0,1.0,96
@BBC,Fri Oct 05 00:30:51 +0000 2018,"RT @aaron_magro: @Redmeheart @IsaacKappy @VibeHi @nytimes @BBC Sun Tzu. (@realDonaldTrump)

Never interrupt your enemy when they're making…",-0.7096,0.0,0.282,0.718,97
@BBC,Fri Oct 05 00:30:50 +0000 2018,"RT @PeteWishart: Surely, surely, @bbcquestiontime can not ignore the third party of Parliament  next week when it is our conference? I mean…",0.8628,0.384,0.0,0.616,98
@BBC,Fri Oct 05 00:30:42 +0000 2018,"RT @BBC: 🎶 @BTS_twt is the #KPop band taking over the world and smashing records everywhere. 

Who are they and how did they become so succ…",0.0,0.0,0.0,1.0,99
@CBSNews,Fri Oct 05 00:37:29 +0000 2018,@CBSNews @ChuckGrassley Mitch McConnell needs to go,0.0,0.0,0.0,1.0,0
@CBSNews,Fri Oct 05 00:37:27 +0000 2018,"RT @CBSNews: John Paul Stevens says Brett Kavanaugh shouldn't be on the Supreme Court after his ""performance in the hearings"" https://t.co/…",0.5574,0.153,0.0,0.847,1
@CBSNews,Fri Oct 05 00:37:20 +0000 2018,@CBSEveningNews @nancycordes Implying that @SenateDems don’t have electricity? The WH doesn’t have available lighti… https://t.co/lfYh46DSC1,0.0,0.0,0.0,1.0,2
@CBSNews,Fri Oct 05 00:37:19 +0000 2018,@CBSNews We're fired up! We won't take it no more! Confirm now!,-0.5556,0.115,0.274,0.611,3
@CBSNews,Fri Oct 05 00:37:08 +0000 2018,"RT @CBSNews: Anti-Kavanaugh protesters take over Senate building, Amy Schumer among those detained https://t.co/AssMs1leog https://t.co/9YW…",-0.5574,0.0,0.261,0.739,4
@CBSNews,Fri Oct 05 00:37:04 +0000 2018,@CBSNews https://t.co/yIgl26NhBY,0.0,0.0,0.0,1.0,5
@CBSNews,Fri Oct 05 00:37:00 +0000 2018,@CBSNews It's like dumping chum for the sharks.,0.0516,0.231,0.213,0.556,6
@CBSNews,Fri Oct 05 00:36:53 +0000 2018,"RT @CBSNews: Kavanaugh fight rallies GOP ahead of midterms: ""It's like pouring gasoline on the base"" https://t.co/jwT7VIaYke https://t.co/1…",-0.0258,0.118,0.123,0.758,7
@CBSNews,Fri Oct 05 00:36:52 +0000 2018,"RT @CBSNews: Kavanaugh fight rallies GOP ahead of midterms: ""It's like pouring gasoline on the base"" https://t.co/jwT7VIaYke https://t.co/1…",-0.0258,0.118,0.123,0.758,8
@CBSNews,Fri Oct 05 00:36:48 +0000 2018,RT @alley167: @CBSNews @SenSchumer This is ludicrous. FORD &amp; KAVANAUGH was put on public display 2 solid days you don't care about the trut…,-0.5466,0.06,0.192,0.748,9
@CBSNews,Fri Oct 05 00:36:48 +0000 2018,@CBSNews Good thing we don't still have him on there!  Don't care what he says &amp; glad he's gone!,0.5935,0.258,0.105,0.637,10
@CBSNews,Fri Oct 05 00:36:43 +0000 2018,"RT @Mad_Dog_609: @CBSNews Mean while, normal productive citizens are working and don't have time for this garbage.",0.0,0.0,0.0,1.0,11
@CBSNews,Fri Oct 05 00:36:21 +0000 2018,"@filterfreeme2 @CBSNews Laws were broke, statue of limitations apply. Read it again. And, please note that our pres… https://t.co/xxXYndv9Ga",-0.128,0.104,0.127,0.769,12
@CBSNews,Fri Oct 05 00:36:21 +0000 2018,@TomCottonAR @realDonaldTrump @Hannity @JesseBWatters @ChuckGrassley @Jim_Jordan @HouseDemocrats @SenateDems… https://t.co/he7MoHYkzs,0.0,0.0,0.0,1.0,13
